OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
"1",Afghanistan,"1622755433000",33.93911,67.709953,"75119","3034","58070","14015"
"2",Albania,"1622755433000",41.1533,20.1683,"132360","2451","129566","343"
"3",Algeria,"1622755433000",28.0339,1.6596,"129640","3490","90281","35869"
"4",Andorra,"1622755433000",42.5063,1.5218,"13752","127","13527","98"
"5",Angola,"1622755433000",-11.2027,17.8739,"34960","780","28264","5916"
"6",Antigua and Barbuda,"1622755433000",17.0608,-61.7964,"1262","42","1213","7"
"7",Argentina,"1622755433000",-38.4161,-63.6167,"3852156","79320","3409316","363520"
"8",Armenia,"1622755433000",40.0691,45.0382,"222978","4448","213813","4717"
"9",Australia,"1622755433000",-25,133,"30137","910","23594","5633"
"10",Austria,"1622755433000",47.5162,14.5501,"645834","10627","630731","4476"
"11",Azerbaijan,"1622755433000",40.1431,47.5769,"334416","4929","325863","3624"
"12",Bahamas,"1622755433000",25.025885,-78.035889,"11864","230","10809","825"
"13",Bahrain,"1622755433000",26.0275,50.55,"244726","1031","216832","26863"
"14",Bangladesh,"1622755433000",23.685,90.3563,"805980","12724","746035","47221"
"15",Barbados,"1622755433000",13.1939,-59.5432,"4023","47","3922","54"
"16",Belarus,"1622755433000",53.7098,27.9534,"396869","2882","388632","5355"
"17",Belgium,"1622755433000",50.8333,4.469936,"1065358","24982",,"1040376"
"18",Belize,"1622755433000",17.1899,-88.4976,"12833","325","12428","80"
"19",Benin,"1622755433000",9.3077,2.3158,"8082","102","7893","87"
"20",Bhutan,"1622755433000",27.5142,90.4336,"1654","1","1327","326"
"21",Bolivia,"1622755433000",-16.2902,-63.5887,"378028","14732","299462","63834"
"22",Bosnia and Herzegovina,"1622755433000",43.9159,17.6791,"204252","9332","175827","19093"
"23",Botswana,"1622755433000",-22.3285,24.6849,"54973","849","51259","2865"
"24",Brazil,"1622755433000",-14.235,-51.9253,"16720081","467706","14763694","1488681"
"25",Brunei,"1622755433000",4.5353,114.7277,"244","3","231","10"
"26",Bulgaria,"1622755433000",42.7339,25.4858,"419010","17747","384777","16486"
"27",Burkina Faso,"1622755433000",12.2383,-1.5616,"13435","167","13256","12"
"28",Burma,"1622755433000",21.9162,95.956,"143945","3221","132408","8316"
"29",Burundi,"1622755433000",-3.3731,29.9189,"4844","6","773","4065"
